chain_root	chain_shortest	chain_longest	chain_length	language	lang_name	mode_word	word_ipa_len	stability	mode_count	total_extensions	gloss	all_words_json
sa-ra-me	sa-ra-me	sa-ra-me-u-na-r	9	sem-pro	Proto-Semitic	ʔarsˤ́-	6	0.7778	7	9		"[""\u0294ars\u02e4\u0301"", ""\u0294ars\u02e4\u0301-"", ""\u0294ars\u02e4\u0301-"", ""\u0294ars\u02e4\u0301-"", ""\u0294ars\u02e4\u0301-"", ""\u0294ars\u02e4\u0301-"", ""\u0294ars\u02e4\u0301-"", ""\u0294is\u02e4ba\u0295-"", ""\u0294ars\u02e4\u0301-""]"
di-ki-tu	di-ki-tu	di-ki-tu-ja-s	4	sem-pro	Proto-Semitic	θuːm-	4	0.7500	3	4		"[""\u03b8u\u02d0m-"", ""\u03b8u\u02d0m-"", ""\u03b8u\u02d0m-"", ""\u0127ams\u02e4\u0301-""]"
ka-na-si	ka-na-si	ka-na-si-si-r	4	sem-pro	Proto-Semitic	marʔ	4	0.7500	3	4	man	"[""mar\u0294"", ""mar\u0294"", ""mar\u0294"", ""ra\u0294\u0283""]"
si-ru-te	si-ru-te	si-ru-te-i-di	4	sem-pro	Proto-Semitic	ʔarsˤ́-	6	0.7500	3	4		"[""\u0294ars\u02e4\u0301"", ""\u0294ars\u02e4\u0301-"", ""\u0294ars\u02e4\u0301-"", ""\u0294ars\u02e4\u0301-""]"
di-ki-te	di-ki-te	di-ki-te-te-re	9	xcr	Eteocretan	ml̩n	4	1.0000	9	9		"[""ml\u0329n"", ""ml\u0329n"", ""ml\u0329n"", ""ml\u0329n"", ""ml\u0329n"", ""ml\u0329n"", ""ml\u0329n"", ""ml\u0329n"", ""ml\u0329n""]"
se-ka-na	se-ka-na	se-ka-na-si-si	5	xcr	Eteocretan	γέl̩α	5	1.0000	5	5		"[""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1""]"
e-i-ke-ta	e-i-ke-ta	e-i-ke-ta-na-i-*301	5	xcr	Eteocretan	γέl̩α	5	1.0000	5	5		"[""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1""]"
*56-e-tu-me	*56-e-tu-me	*56-e-tu-me-i-ja-s	5	xcr	Eteocretan	βάνðα	5	1.0000	5	5		"[""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1""]"
ki-te-te	ki-te-te	ki-te-te-re-p	4	xcr	Eteocretan	lrTɲ	4	1.0000	4	4		"[""lrT\u0272"", ""lrT\u0272"", ""lrT\u0272"", ""lrT\u0272""]"
a-se-ka	a-se-ka	a-se-ka-na-si-s	6	xcr	Eteocretan	γέl̩α	5	0.8333	5	6		"[""\u2020=l\u0329"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1""]"
da-da-u	da-da-u	da-da-u-ti-nu-i	6	xcr	Eteocretan	βάνðα	5	0.8333	5	6		"[""\u2020=\u00f0"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1""]"
