# Source: eCUT — electronic Corpus of Urartian Texts (ORACC), Urartian glossary
# URL: https://oracc.museum.upenn.edu/ecut/
# License: CC0 1.0 (Public Domain)
# Downloaded: 2026-03-26T08:52:56Z
# Script: pillar5/scripts/extract_glosses.py
word	translation	source	source_url
ekuše	(a positive quality or state)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
elmuše	(a positive quality or state)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
eludi	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
eme	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
EN.NAM	governor	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
erašini	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ereli	king	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
erili	king	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
erilinusi	royalty	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ERIN₂	soldier	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ERIN₂.GIR₃	footsoldier	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
erṣid-	settle	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
esi	place	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
esidini	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ešiaṣ-	decrease?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ešiate	(a category of men or profession)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ešimeṣi	(a positive quality or state)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ešinini	inhabitated	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
eue	and	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
euri	lord	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
E₂.DIN	builder	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
GABA	rival	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
GABA.RI	rival	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
GAG.TI	arrow	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
gai	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
galazi	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
GAR.ŠID.DA	head of the temple personal	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
gari	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
garrurda	(a category of men or profession)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
gazuli	good	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
GEŠTIN	wine	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
giei	anything	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
GIGIR	chariot	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
GU.ZA	throne	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
gubušt-	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
gud-	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
gudibadi	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
guli	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
guni	true	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
