# Source: eDiAna Digital Philological-Etymological Dictionary of the Minor Ancient Anatolian Corpus Languages (Lydian)
# URL: https://www.ediana.gwi.uni-muenchen.de/
# License: CC BY-SA 4.0
# Downloaded: 2026-03-26T08:52:56Z
# Script: pillar5/scripts/extract_glosses.py
word	translation	source	source_url
*kan-	dog (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
*istupeλm(i)-	the struck one	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
cina-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
arto-(d)	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
pida-	addition (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
taqtula-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
tawa-(d)	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
fišfid	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
sako-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
sνãλaν	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
satrapa-	satrap	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
lẽν	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
wνišλ	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
=(i)s	(emphasizing)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
midaτa-	most (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
esaν	possessions, belongings (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
šiwraλa-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
šiwraλm(i)-	prosecutor	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
war-	(a punishing agent)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
nã=kukod	wherever, whenever	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
qardoλcν	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
nãν	further, again (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
nak	whether / or	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
=nak	also	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
išfolla-(d)	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
qela-	plot of land	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
armτa-	(a temple functionary)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
astãni-(t)	to compensate, make amends (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
arlil(i)-	belonging to the estate, household	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
ora-	month	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
τorsa-	vineyard (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
tutra-	daughter (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
