# Source: IDS — Intercontinental Dictionary Series, Elamite (contribution 216)
# URL: https://ids.clld.org/contributions/216
# License: CC BY 4.0
# Downloaded: 2026-03-26T08:52:56Z
# Script: pillar5/scripts/extract_glosses.py
word	translation	source	source_url
pari-; uzzu-; uz-zu-un; uz-zu-un-ta	walk	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
izzi-; iz-zí-iš; šinni-; šinnu-; ši-in-nu-ik; ši-in-nu	come	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
kuti-; ku-ti-na; ku-ti-šá	carry (bear)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
tela-; te-la-ak-ni; te-la-ni-li	bring	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
da-; da-an-da; da-h	send	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
te-li-nu-ip	ride	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ba-u; bar-du; hu-te	road	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
za-ap-pan	yoke	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
duma; du-ma; du-ma-iš	take	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
duna-; duni-; du-ni-h; du-ni-ha; du-na-áš; du-na-qa; li-; li-h; li-ik	give	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
kutu-; ku-tu-un; ku-tu-uš-li	preserve, look after	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
sari-; sa-ri-h; sa-ri-in-ti	destroy	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
bakka-; ba-ak-qa-h	find	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
sir	rich	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
a-h-da-a	debt	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
un-sa-ha; un-sa-iš; za-ag-gi-iš	pay (vb)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
te-um-be; ha-nu	wages	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
šá-ak-ki-me; šá-ak-ki-mi; šá-gi-me	price	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ki-ik; me-mi; me-ni	behind	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
tibbe; ti-ib-ba	before	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ti-ib-ba; si-ma; si-ma	front	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
a-ti-in; a-ti-ra; ha-ti	inside, in	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ki-du-ú-ya; ki-du-ur; ki-du-um-ma; ki-du	outside	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
šá-ra	under	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
kate; qa-te; qa-te-ma	place	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
bela-; pela-; be-la; be-ip-la; da-; ta-; ta-at; da-h	put	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ta-rí-ir; ta-ri-ip	join, unite	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
te-iš; tu-um-ba-h	open	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
kappa-; kap-pa-iš	shut, close	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
šá-da-ni-qa	far (adv)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ha-tin; ha-te-um-me	east	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
šu-tin	west	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
azza-; hazza-; az-za-qa; ha-iz-za-ik-qa; ha-za-qa; rša-; ir-šá-na; ri-ša-ar	large, big	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
tila; ti-la	small, little	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
zikki; zik-ki	thin (in dimension)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
