chain_root	chain_shortest	chain_longest	chain_length	language	lang_name	stability	mode_word	mode_count	total_extensions	gloss	all_words_json
i-nu-ja	i-nu-ja	i-nu-ja-sa-sa-r	6	sem-pro	Proto-Semitic	0.8333	U₃	5	6		"[""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""ra\u0294\u0283""]"
i-nu-ja	i-nu-ja	i-nu-ja-sa-sa-r	6	xcr	Eteocretan	0.8333	γίσσα	5	6		"[""\u2020=\u00f0"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1""]"
i-nu-ja	i-nu-ja	i-nu-ja-sa-sa-r	6	xrr	Etruscan	0.8333	-Ø	5	6	tir raetica	"[""-\u00d8"", ""-\u00d8"", ""-\u00d8"", ""-\u00d8"", ""-\u00d8"", ""-u""]"
i-nu-ja	i-nu-ja	i-nu-ja-sa-sa-r	6	xur	Urartian	0.8333	tan-	5	6	do	"[""sie"", ""tan-"", ""tan-"", ""tan-"", ""tan-"", ""tan-""]"
ja-a-di	ja-a-di	ja-a-di-ki-te-s	6	peo	Old Persian	0.8333	aiva	5	6	one	"[""aiva"", ""aiva"", ""aiva"", ""aiva"", ""aiva"", ""Ji\u02d0vakah""]"
na-ma-i	na-ma-i	na-ma-i-na-ja-r	6	dra-pro	Proto-Dravidian	0.8333	poʈʈ-	5	6		"[""po\u02d0r"", ""po\u0288\u0288-"", ""po\u0288\u0288-"", ""po\u0288\u0288-"", ""po\u0288\u0288-"", ""po\u0288\u0288-""]"
na-ma-i	na-ma-i	na-ma-i-na-ja-r	6	xrr	Etruscan	0.8333	-Ø	5	6	tir raetica	"[""-\u00d8"", ""-\u00d8"", ""-\u00d8"", ""-\u00d8"", ""-\u00d8"", ""-u""]"
na-si-i	na-si-i	na-si-i-pi-na-m	6	ccs-pro	Proto-Kartvelian	0.8333	uɣ	5	6	yoke	"[""otxo"", ""u\u0263"", ""u\u0263"", ""u\u0263"", ""u\u0263"", ""u\u0263""]"
na-si-i	na-si-i	na-si-i-pi-na-m	6	cms	Messapic	0.8333	bilia	5	6	daughter	"[""bilia"", ""mazzes"", ""bilia"", ""bilia"", ""bilia"", ""bilia""]"
nu-i-na	nu-i-na	nu-i-na-i-da-ja	6	cms	Messapic	0.8333	ai	5	6	conjunction (hypothetical)	"[""teuta"", ""ai"", ""ai"", ""ai"", ""ai"", ""ai""]"
